Title,Gross,Budget,,,
Ant-Man," 502,894,470.00 "," 130,000,000.00 ",,,
Ant-Man and the Wasp," 602,868,909.00 "," 195,000,000.00 ",,,
Avengers: Age of Ultron," 1,356,049,664.00 "," 250,000,000.00 ",,,
Avengers: Endgame," 2,070,527,142.00 "," 356,000,000.00 ",,,
Avengers: Infinity War," 1,939,702,234.00 "," 400,000,000.00 ",,,
Black Panther," 1,303,556,281.00 "," 200,000,000.00 ",,,
Captain America: Civil War," 1,087,058,374.00 "," 250,000,000.00 ",,,
Captain America: The First Avenger," 347,542,455.00 "," 140,000,000.00 ",,,
Captain America: The Winter Soldier," 674,227,074.00 "," 170,000,000.00 ",,,
Captain Marvel," 1,088,028,903.00 "," 160,000,000.00 ",,,
Doctor Strange," 651,379,347.00 "," 165,000,000.00 ",,,
Guardians of the Galaxy," 713,699,805.00 "," 170,000,000.00 ",,,
Guardians of the Galaxy Vol. 2," 844,160,546.00 "," 200,000,000.00 ",,,
Iron Man," 580,958,483.00 "," 140,000,000.00 ",,,
Iron Man 2," 594,073,589.00 "," 200,000,000.00 ",,,
Iron Man 3," 1,161,787,250.00 "," 200,000,000.00 ",,,
Spider-Man: Far from Home," 1,102,761,745.00 "," 160,000,000.00 ",,,
Spider-Man: Homecoming," 871,585,869.00 "," 175,000,000.00 ",,,
Avengers," 1,448,455,521.00 "," 220,000,000.00 ",,,
The Incredible Hulk," 264,770,996.00 "," 150,000,000.00 ",,,
Thor," 417,575,631.00 "," 150,000,000.00 ",,,
Thor: Ragnarok," 825,589,021.00 "," 180,000,000.00 ",,,
Thor: The Dark World," 597,714,110.00 "," 170,000,000.00 ",,,
